datetime,PM2.5,PM10,CO,station
2013-03-01 00:00:00,8.0,8.0,400.0,Wanliu
2013-03-01 01:00:00,9.0,9.0,400.0,Wanliu
2013-03-01 02:00:00,3.0,6.0,400.0,Wanliu
2013-03-01 03:00:00,11.0,30.0,350.0,Wanliu
2013-03-01 04:00:00,3.0,13.0,300.0,Wanliu
2013-03-01 05:00:00,3.0,6.0,300.0,Wanliu
2013-03-01 06:00:00,3.0,3.0,300.0,Wanliu
2013-03-01 07:00:00,3.0,6.0,300.0,Wanliu
2013-03-01 08:00:00,7.0,10.0,400.0,Wanliu
2013-03-01 09:00:00,3.0,9.0,400.0,Wanliu
2013-03-01 10:00:00,3.0,8.0,400.0,Wanliu
2013-03-01 11:00:00,3.0,6.0,300.0,Wanliu
2013-03-01 12:00:00,6.0,9.0,300.0,Wanliu
2013-03-01 13:00:00,10.0,18.0,300.0,Wanliu
2013-03-01 14:00:00,10.0,15.0,300.0,Wanliu
2013-03-01 15:00:00,7.0,15.0,300.0,Wanliu
2013-03-01 16:00:00,12.0,22.0,300.0,Wanliu
2013-03-01 17:00:00,13.0,23.0,300.0,Wanliu
2013-03-01 18:00:00,11.0,25.0,400.0,Wanliu
2013-03-01 19:00:00,11.0,17.0,600.0,Wanliu
2013-03-01 20:00:00,9.0,19.0,500.0,Wanliu
2013-03-01 21:00:00,14.0,17.0,600.0,Wanliu
2013-03-01 22:00:00,15.0,20.0,700.0,Wanliu
2013-03-01 23:00:00,15.0,29.0,600.0,Wanliu
2013-03-02 00:00:00,15.0,2.0,600.0,Wanliu
2013-03-02 01:00:00,4.0,12.0,500.0,Wanliu
2013-03-02 02:00:00,12.0,12.0,400.0,Wanliu
2013-03-02 03:00:00,3.0,9.0,400.0,Wanliu
2013-03-02 04:00:00,3.0,6.0,400.0,Wanliu
2013-03-02 05:00:00,3.0,6.0,500.0,Wanliu
2013-03-02 06:00:00,4.0,12.0,600.0,Wanliu
2013-03-02 07:00:00,3.0,14.0,600.0,Wanliu
2013-03-02 08:00:00,3.0,6.0,600.0,Wanliu
2013-03-02 09:00:00,3.0,12.0,600.0,Wanliu
2013-03-02 10:00:00,3.0,10.0,600.0,Wanliu
2013-03-02 11:00:00,6.0,13.0,700.0,Wanliu
2013-03-02 12:00:00,16.0,18.0,800.0,Wanliu
2013-03-02 13:00:00,19.0,27.0,700.0,Wanliu
2013-03-02 14:00:00,32.0,36.0,700.0,Wanliu
2013-03-02 15:00:00,31.0,37.0,800.0,Wanliu
2013-03-02 16:00:00,34.0,42.0,1100.0,Wanliu
2013-03-02 17:00:00,47.0,70.0,1100.0,Wanliu
2013-03-02 18:00:00,58.0,83.0,1100.0,Wanliu
2013-03-02 19:00:00,65.0,94.0,1200.0,Wanliu
2013-03-02 20:00:00,78.0,108.0,1500.0,Wanliu
2013-03-02 21:00:00,84.0,122.0,2200.0,Wanliu
2013-03-02 22:00:00,88.0,132.0,2000.0,Wanliu
2013-03-02 23:00:00,84.0,116.0,2100.0,Wanliu
2013-03-03 00:00:00,88.0,127.0,2799.0,Wanliu
2013-03-03 01:00:00,104.0,145.0,3000.0,Wanliu
2013-03-03 02:00:00,106.0,142.0,2899.0,Wanliu
2013-03-03 03:00:00,96.0,147.0,2799.0,Wanliu
2013-03-03 04:00:00,89.0,130.0,2500.0,Wanliu
2013-03-03 05:00:00,79.0,102.0,2299.0,Wanliu
2013-03-03 06:00:00,81.0,107.0,2899.0,Wanliu
2013-03-03 07:00:00,90.0,140.0,3799.0,Wanliu
2013-03-03 08:00:00,100.0,171.0,4400.0,Wanliu
2013-03-03 09:00:00,108.0,181.0,3299.0,Wanliu
2013-03-03 10:00:00,100.0,147.0,2600.0,Wanliu
2013-03-03 11:00:00,97.0,135.0,2399.0,Wanliu
2013-03-03 12:00:00,101.0,134.0,2500.0,Wanliu
2013-03-03 13:00:00,107.0,147.0,1899.0,Wanliu
2013-03-03 14:00:00,84.0,114.0,900.0,Wanliu
2013-03-03 15:00:00,43.0,82.0,600.0,Wanliu
2013-03-03 16:00:00,26.0,89.0,700.0,Wanliu
2013-03-03 17:00:00,50.0,132.0,700.0,Wanliu
2013-03-03 18:00:00,41.0,93.0,900.0,Wanliu
2013-03-03 19:00:00,68.0,196.0,1899.0,Wanliu
2013-03-03 20:00:00,145.0,294.0,1300.0,Wanliu
2013-03-03 21:00:00,79.0,91.0,700.0,Wanliu
2013-03-03 22:00:00,24.0,40.0,900.0,Wanliu
2013-03-03 23:00:00,17.0,52.0,1100.0,Wanliu
2013-03-04 00:00:00,19.0,70.0,2399.0,Wanliu
2013-03-04 01:00:00,44.0,117.0,2299.0,Wanliu
2013-03-04 02:00:00,42.0,93.0,800.0,Wanliu
2013-03-04 03:00:00,18.0,29.0,600.0,Wanliu
2013-03-04 04:00:00,10.0,23.0,500.0,Wanliu
2013-03-04 05:00:00,12.0,34.0,500.0,Wanliu
2013-03-04 06:00:00,8.0,30.0,500.0,Wanliu
2013-03-04 07:00:00,8.0,32.0,800.0,Wanliu
2013-03-04 08:00:00,12.0,61.0,1000.0,Wanliu
2013-03-04 09:00:00,19.0,50.0,900.0,Wanliu
2013-03-04 10:00:00,14.0,25.0,600.0,Wanliu
2013-03-04 11:00:00,4.0,9.0,500.0,Wanliu
2013-03-04 12:00:00,11.0,19.0,500.0,Wanliu
2013-03-04 13:00:00,3.0,8.0,400.0,Wanliu
2013-03-04 14:00:00,3.0,8.0,400.0,Wanliu
2013-03-04 15:00:00,10.0,16.0,500.0,Wanliu
2013-03-04 16:00:00,18.0,23.0,600.0,Wanliu
2013-03-04 17:00:00,22.0,70.0,600.0,Wanliu
2013-03-04 18:00:00,29.0,70.0,700.0,Wanliu
2013-03-04 19:00:00,33.0,73.0,700.0,Wanliu
2013-03-04 20:00:00,34.0,84.0,800.0,Wanliu
2013-03-04 21:00:00,44.0,88.0,1000.0,Wanliu
2013-03-04 22:00:00,62.0,109.0,1100.0,Wanliu
2013-03-04 23:00:00,70.0,116.0,1200.0,Wanliu
2013-03-05 00:00:00,87.0,153.0,1200.0,Wanliu
2013-03-05 01:00:00,100.0,170.0,1399.0,Wanliu
2013-03-05 02:00:00,113.0,167.0,1700.0,Wanliu
2013-03-05 03:00:00,129.0,179.0,1799.5,Wanliu
2013-03-05 04:00:00,132.0,183.0,1899.0,Wanliu
2013-03-05 05:00:00,128.0,189.0,2000.0,Wanliu
2013-03-05 06:00:00,101.0,116.0,2100.0,Wanliu
2013-03-05 07:00:00,99.0,142.0,2700.0,Wanliu
2013-03-05 08:00:00,100.0,158.0,2899.0,Wanliu
2013-03-05 09:00:00,108.0,178.0,3100.0,Wanliu
2013-03-05 10:00:00,132.0,223.0,2700.0,Wanliu
2013-03-05 11:00:00,138.0,198.0,1899.0,Wanliu
2013-03-05 12:00:00,115.0,173.0,1899.0,Wanliu
2013-03-05 13:00:00,3.0,6.0,1700.0,Wanliu
2013-03-05 14:00:00,3.0,138.0,1800.0,Wanliu
2013-03-05 15:00:00,3.0,183.0,1899.0,Wanliu
2013-03-05 16:00:00,167.0,195.0,2100.0,Wanliu
2013-03-05 17:00:00,168.0,201.0,2299.0,Wanliu
2013-03-05 18:00:00,182.0,225.0,2700.0,Wanliu
2013-03-05 19:00:00,209.0,270.0,3000.0,Wanliu
2013-03-05 20:00:00,225.0,293.0,3500.0,Wanliu
2013-03-05 21:00:00,237.0,316.0,4799.0,Wanliu
2013-03-05 22:00:00,270.0,343.0,4700.0,Wanliu
2013-03-05 23:00:00,268.0,328.0,4200.0,Wanliu
2013-03-06 00:00:00,243.0,274.0,3299.0,Wanliu
2013-03-06 01:00:00,213.0,239.0,3000.0,Wanliu
2013-03-06 02:00:00,200.0,220.0,3100.0,Wanliu
2013-03-06 03:00:00,206.0,233.0,3899.0,Wanliu
2013-03-06 04:00:00,217.0,248.0,3799.0,Wanliu
2013-03-06 05:00:00,216.0,234.0,2899.0,Wanliu
2013-03-06 06:00:00,193.0,227.0,2899.0,Wanliu
2013-03-06 07:00:00,198.0,241.0,3299.0,Wanliu
2013-03-06 08:00:00,205.0,260.0,3200.0,Wanliu
2013-03-06 09:00:00,212.0,274.0,3100.0,Wanliu
2013-03-06 10:00:00,200.0,254.0,3600.0,Wanliu
2013-03-06 11:00:00,218.0,278.0,3399.0,Wanliu
2013-03-06 12:00:00,221.0,285.0,3100.0,Wanliu
2013-03-06 13:00:00,246.0,295.0,2799.0,Wanliu
2013-03-06 14:00:00,246.0,273.0,2500.0,Wanliu
2013-03-06 15:00:00,239.0,259.0,2799.0,Wanliu
2013-03-06 16:00:00,249.0,298.0,3500.0,Wanliu
2013-03-06 17:00:00,259.0,330.0,3200.0,Wanliu
2013-03-06 18:00:00,248.0,311.0,3200.0,Wanliu
2013-03-06 19:00:00,244.0,317.0,3600.0,Wanliu
2013-03-06 20:00:00,251.0,332.0,3600.0,Wanliu
2013-03-06 21:00:00,253.0,313.0,3799.0,Wanliu
2013-03-06 22:00:00,266.0,322.0,4000.0,Wanliu
2013-03-06 23:00:00,266.0,328.0,4299.0,Wanliu
2013-03-07 00:00:00,270.0,347.0,4500.0,Wanliu
2013-03-07 01:00:00,276.0,349.0,4200.0,Wanliu
2013-03-07 02:00:00,257.0,323.0,4200.0,Wanliu
2013-03-07 03:00:00,237.0,310.0,4400.0,Wanliu
2013-03-07 04:00:00,238.0,310.0,4900.0,Wanliu
2013-03-07 05:00:00,242.0,309.0,6299.0,Wanliu
2013-03-07 06:00:00,254.0,325.0,6900.0,Wanliu
2013-03-07 07:00:00,266.0,337.0,8099.0,Wanliu
2013-03-07 08:00:00,333.0,414.0,8400.0,Wanliu
2013-03-07 09:00:00,379.0,506.0,7900.0,Wanliu
2013-03-07 10:00:00,370.0,504.0,7099.0,Wanliu
2013-03-07 11:00:00,399.0,493.0,6200.0,Wanliu
2013-03-07 12:00:00,347.0,401.0,4500.0,Wanliu
2013-03-07 13:00:00,276.0,295.0,3799.0,Wanliu
2013-03-07 14:00:00,202.0,240.0,2899.0,Wanliu
2013-03-07 15:00:00,244.0,246.0,2100.0,Wanliu
2013-03-07 16:00:00,3.0,6.0,1800.0,Wanliu
2013-03-07 17:00:00,3.0,6.0,2200.0,Wanliu
2013-03-07 18:00:00,3.0,258.0,2700.0,Wanliu
2013-03-07 19:00:00,122.0,310.0,3100.0,Wanliu
2013-03-07 20:00:00,188.0,332.0,3600.0,Wanliu
2013-03-07 21:00:00,251.0,341.0,3899.0,Wanliu
2013-03-07 22:00:00,236.0,342.0,4099.0,Wanliu
2013-03-07 23:00:00,316.0,336.0,5799.0,Wanliu
2013-03-08 00:00:00,158.0,358.0,6500.0,Wanliu
2013-03-08 01:00:00,350.0,354.0,6799.0,Wanliu
2013-03-08 02:00:00,313.0,373.0,6000.0,Wanliu
2013-03-08 03:00:00,299.0,324.0,6900.0,Wanliu
2013-03-08 04:00:00,287.0,342.0,7500.0,Wanliu
2013-03-08 05:00:00,313.0,335.0,7500.0,Wanliu
2013-03-08 06:00:00,302.0,336.0,7599.0,Wanliu
2013-03-08 07:00:00,299.0,337.0,8500.0,Wanliu
2013-03-08 08:00:00,290.0,355.0,9250.0,Wanliu
2013-03-08 09:00:00,56.0,108.0,10000.0,Wanliu
2013-03-08 10:00:00,277.0,360.0,8649.5,Wanliu
2013-03-08 11:00:00,297.0,346.0,7299.0,Wanliu
2013-03-08 12:00:00,248.0,255.0,4400.0,Wanliu
2013-03-08 13:00:00,195.0,254.0,2500.0,Wanliu
2013-03-08 14:00:00,179.0,236.0,1899.0,Wanliu
2013-03-08 15:00:00,289.0,476.0,3700.0,Wanliu
2013-03-08 16:00:00,215.0,400.0,2600.0,Wanliu
2013-03-08 17:00:00,142.0,242.0,1700.0,Wanliu
2013-03-08 18:00:00,118.0,171.0,1300.0,Wanliu
2013-03-08 19:00:00,75.0,127.0,1200.0,Wanliu
2013-03-08 20:00:00,91.0,138.0,1300.0,Wanliu
2013-03-08 21:00:00,95.0,123.0,1300.0,Wanliu
2013-03-08 22:00:00,82.0,102.0,1300.0,Wanliu
2013-03-08 23:00:00,85.0,117.0,1700.0,Wanliu
2013-03-09 00:00:00,83.0,94.0,1899.0,Wanliu
2013-03-09 01:00:00,87.0,88.0,2000.0,Wanliu
2013-03-09 02:00:00,68.0,106.0,2200.0,Wanliu
2013-03-09 03:00:00,108.0,111.0,2400.0,Wanliu
2013-03-09 04:00:00,95.0,119.0,2600.0,Wanliu
2013-03-09 05:00:00,94.0,137.0,2600.0,Wanliu
2013-03-09 06:00:00,106.0,143.0,2600.0,Wanliu
2013-03-09 07:00:00,101.0,159.0,3100.0,Wanliu
2013-03-09 08:00:00,105.0,175.0,3500.0,Wanliu
2013-03-09 09:00:00,105.0,166.0,1899.0,Wanliu
2013-03-09 10:00:00,149.0,499.0,1800.0,Wanliu
2013-03-09 11:00:00,87.0,829.0,700.0,Wanliu
2013-03-09 12:00:00,74.0,779.0,450.0,Wanliu
2013-03-09 13:00:00,76.0,729.0,200.0,Wanliu
2013-03-09 14:00:00,74.0,679.0,200.0,Wanliu
2013-03-09 15:00:00,41.0,629.0,200.0,Wanliu
2013-03-09 16:00:00,26.0,344.0,200.0,Wanliu
2013-03-09 17:00:00,14.0,193.0,200.0,Wanliu
2013-03-09 18:00:00,11.0,151.0,300.0,Wanliu
2013-03-09 19:00:00,14.0,120.0,300.0,Wanliu
2013-03-09 20:00:00,23.0,93.0,300.0,Wanliu
2013-03-09 21:00:00,14.0,68.0,400.0,Wanliu
2013-03-09 22:00:00,17.0,54.0,400.0,Wanliu
2013-03-09 23:00:00,12.0,44.0,500.0,Wanliu
2013-03-10 00:00:00,19.0,44.0,500.0,Wanliu
2013-03-10 01:00:00,13.0,31.0,500.0,Wanliu
2013-03-10 02:00:00,21.0,29.0,600.0,Wanliu
2013-03-10 03:00:00,16.0,35.0,600.0,Wanliu
2013-03-10 04:00:00,22.0,30.0,700.0,Wanliu
2013-03-10 05:00:00,16.0,20.0,900.0,Wanliu
2013-03-10 06:00:00,14.0,38.0,1000.0,Wanliu
2013-03-10 07:00:00,30.0,59.0,1399.0,Wanliu
2013-03-10 08:00:00,26.0,58.0,1100.0,Wanliu
2013-03-10 09:00:00,21.0,64.0,800.0,Wanliu
2013-03-10 10:00:00,31.0,64.0,700.0,Wanliu
2013-03-10 11:00:00,34.0,72.0,900.0,Wanliu
2013-03-10 12:00:00,44.0,64.0,700.0,Wanliu
2013-03-10 13:00:00,27.0,55.0,600.0,Wanliu
2013-03-10 14:00:00,31.0,53.0,600.0,Wanliu
2013-03-10 15:00:00,25.0,68.0,600.0,Wanliu
2013-03-10 16:00:00,32.0,79.0,600.0,Wanliu
2013-03-10 17:00:00,41.0,90.0,600.0,Wanliu
2013-03-10 18:00:00,45.0,96.0,700.0,Wanliu
2013-03-10 19:00:00,61.0,104.0,800.0,Wanliu
2013-03-10 20:00:00,74.0,125.0,1000.0,Wanliu
2013-03-10 21:00:00,79.0,136.0,1100.0,Wanliu
2013-03-10 22:00:00,91.0,146.0,1300.0,Wanliu
2013-03-10 23:00:00,101.0,155.0,1300.0,Wanliu
2013-03-11 00:00:00,106.0,170.0,1399.0,Wanliu
2013-03-11 01:00:00,113.0,170.0,1600.0,Wanliu
2013-03-11 02:00:00,111.0,169.0,1700.0,Wanliu
2013-03-11 03:00:00,122.0,169.0,1700.0,Wanliu
2013-03-11 04:00:00,117.0,186.0,2000.0,Wanliu
2013-03-11 05:00:00,107.0,182.0,2500.0,Wanliu
2013-03-11 06:00:00,107.0,160.0,2600.0,Wanliu
2013-03-11 07:00:00,106.0,172.0,3000.0,Wanliu
2013-03-11 08:00:00,109.0,169.0,2700.0,Wanliu
2013-03-11 09:00:00,115.0,192.0,2700.0,Wanliu
2013-03-11 10:00:00,125.0,179.0,2399.0,Wanliu
2013-03-11 11:00:00,146.0,193.0,2449.5,Wanliu
2013-03-11 12:00:00,153.0,189.0,2500.0,Wanliu
2013-03-11 13:00:00,157.0,208.0,2600.0,Wanliu
2013-03-11 14:00:00,134.0,167.0,1800.0,Wanliu
2013-03-11 15:00:00,109.0,135.0,1399.0,Wanliu
2013-03-11 16:00:00,140.0,184.0,1800.0,Wanliu
2013-03-11 17:00:00,147.0,205.0,2000.0,Wanliu
2013-03-11 18:00:00,168.0,244.0,2700.0,Wanliu
